,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,4119,34,admin.,married,university.degree,no,no,may,29,349,2,0,nonexistent,93.994,4.858,no
1,4120,45,entrepreneur,married,basic.9y,no,no,may,22,34,9,0,nonexistent,93.994,4.858,no
2,4121,45,blue-collar,married,basic.9y,unknown,yes,may,14,48,3,0,nonexistent,93.994,4.858,no
3,4122,39,technician,divorced,professional.course,no,unknown,may,4,182,11,0,nonexistent,93.994,4.858,no
4,4123,29,technician,single,university.degree,no,unknown,may,1,147,1,0,nonexistent,93.994,4.858,no
5,4124,44,technician,divorced,high.school,no,yes,may,11,457,5,0,nonexistent,93.994,4.858,no
6,4125,29,technician,single,university.degree,no,yes,may,10,193,1,0,nonexistent,93.994,4.858,no
7,4126,32,technician,married,professional.course,no,no,may,16,142,3,0,nonexistent,93.994,4.858,no
8,4127,32,technician,single,high.school,no,yes,may,16,123,2,0,nonexistent,93.994,4.858,no
9,4128,48,technician,divorced,professional.course,no,no,may,21,65,3,0,nonexistent,93.994,4.858,no
10,4129,29,technician,single,university.degree,no,yes,may,29,420,1,0,nonexistent,93.994,4.858,no
11,4130,32,blue-collar,married,professional.course,no,yes,may,29,100,2,0,nonexistent,93.994,4.858,no
12,4131,38,blue-collar,single,basic.4y,no,yes,may,25,403,2,0,nonexistent,93.994,4.858,no
13,4132,28,unemployed,single,high.school,no,yes,may,20,229,3,0,nonexistent,93.994,4.858,no
14,4133,46,blue-collar,married,basic.4y,no,unknown,may,16,445,2,0,nonexistent,93.994,4.858,no
15,4134,46,management,married,basic.9y,unknown,no,may,24,206,4,0,nonexistent,93.994,4.858,no
16,4135,27,admin.,single,university.degree,no,yes,may,29,182,2,0,nonexistent,93.994,4.858,no
17,4136,26,blue-collar,married,basic.4y,no,yes,may,9,183,2,0,nonexistent,93.994,4.858,no
18,4137,33,blue-collar,married,basic.9y,no,yes,may,28,140,2,0,nonexistent,93.994,4.858,no
19,4138,28,management,married,university.degree,no,no,may,15,134,3,0,nonexistent,93.994,4.858,no
20,4139,52,management,married,basic.4y,unknown,no,may,23,88,35,0,nonexistent,93.994,4.858,no
21,4140,35,admin.,single,university.degree,no,no,may,3,234,13,0,nonexistent,93.994,4.858,no
22,4141,33,blue-collar,married,basic.9y,no,unknown,may,17,215,3,0,nonexistent,93.994,4.858,no
23,4142,46,blue-collar,married,basic.9y,no,yes,may,31,194,5,0,nonexistent,93.994,4.858,no
24,4143,26,services,married,high.school,no,no,may,28,394,2,0,nonexistent,93.994,4.858,no
25,4144,39,services,married,high.school,unknown,no,may,28,5,2,0,nonexistent,93.994,4.858,no
26,4145,47,admin.,married,university.degree,no,no,may,3,408,2,0,nonexistent,93.994,4.858,no
27,4146,26,blue-collar,married,basic.4y,no,no,may,20,114,2,0,nonexistent,93.994,4.858,no
28,4147,34,blue-collar,married,professional.course,no,yes,may,14,210,2,0,nonexistent,93.994,4.858,no
29,4148,24,admin.,single,high.school,no,yes,may,7,243,6,0,nonexistent,93.994,4.858,no
30,4149,31,technician,married,professional.course,no,no,may,18,180,6,0,nonexistent,93.994,4.858,no
31,4150,26,admin.,single,high.school,no,no,may,20,8,2,0,nonexistent,93.994,4.858,no
32,4151,31,admin.,married,high.school,no,no,may,10,313,2,0,nonexistent,93.994,4.858,no
33,4152,34,blue-collar,married,basic.6y,no,yes,may,11,1622,2,0,nonexistent,93.994,4.858,yes
34,4153,60,admin.,married,professional.course,no,yes,may,20,324,2,0,nonexistent,93.994,4.858,no
35,4154,32,blue-collar,married,basic.6y,unknown,yes,may,7,205,3,0,nonexistent,93.994,4.858,no
36,4155,24,blue-collar,married,basic.9y,no,yes,may,17,194,2,0,nonexistent,93.994,4.858,no
37,4156,28,admin.,married,high.school,no,no,may,23,165,5,0,nonexistent,93.994,4.858,no
38,4157,55,entrepreneur,divorced,university.degree,no,yes,may,13,86,7,0,nonexistent,93.994,4.858,no
39,4158,38,admin.,divorced,high.school,no,no,may,10,160,2,0,nonexistent,93.994,4.858,no
40,4159,37,blue-collar,married,professional.course,no,yes,may,27,492,6,0,nonexistent,93.994,4.858,no
41,4160,36,services,divorced,university.degree,no,no,may,30,187,3,0,nonexistent,93.994,4.858,no
42,4161,47,technician,married,professional.course,unknown,yes,may,23,197,4,0,nonexistent,93.994,4.858,no
43,4162,49,technician,married,professional.course,unknown,yes,may,24,95,5,0,nonexistent,93.994,4.858,no
44,4163,31,blue-collar,married,basic.4y,no,yes,may,2,159,3,0,nonexistent,93.994,4.858,no
45,4164,52,services,married,high.school,unknown,yes,may,5,967,6,0,nonexistent,93.994,4.858,yes
46,4165,36,services,married,high.school,unknown,yes,may,4,260,3,0,nonexistent,93.994,4.858,no
47,4166,51,blue-collar,married,basic.6y,unknown,yes,may,9,109,2,0,nonexistent,93.994,4.858,no
48,4167,52,services,divorced,high.school,no,no,may,10,579,5,0,nonexistent,93.994,4.858,yes
49,4168,29,technician,married,professional.course,no,yes,may,14,124,42,0,nonexistent,93.994,4.858,no
50,4169,51,services,married,professional.course,unknown,no,may,14,158,5,0,nonexistent,93.994,4.858,no
51,4170,31,blue-collar,married,basic.9y,no,yes,may,28,162,10,0,nonexistent,93.994,4.858,no
52,4171,36,admin.,married,high.school,no,no,may,3,211,2,0,nonexistent,93.994,4.858,no
53,4172,42,services,married,basic.9y,unknown,no,may,5,173,5,0,nonexistent,93.994,4.858,no
54,4173,32,management,single,basic.4y,no,no,may,31,73,7,0,nonexistent,93.994,4.858,no
55,4174,30,technician,single,professional.course,no,yes,may,23,220,3,0,nonexistent,93.994,4.858,no
56,4175,27,blue-collar,married,basic.9y,no,yes,may,7,110,2,0,nonexistent,93.994,4.858,no
57,4176,47,management,married,basic.4y,unknown,no,may,29,99,22,0,nonexistent,93.994,4.858,no
58,4177,56,blue-collar,married,basic.4y,unknown,yes,may,19,112,7,0,nonexistent,93.994,4.858,no
59,4178,57,housemaid,married,basic.6y,no,no,may,6,168,4,0,nonexistent,93.994,4.858,no
60,4179,27,services,married,professional.course,no,yes,may,6,283,3,0,nonexistent,93.994,4.858,no
61,4180,46,blue-collar,divorced,basic.4y,no,no,may,11,235,7,0,nonexistent,93.994,4.858,no
62,4181,43,technician,single,professional.course,no,yes,may,28,138,8,0,nonexistent,93.994,4.858,no
63,4182,44,technician,single,professional.course,unknown,no,may,26,374,6,0,nonexistent,93.994,4.858,no
64,4183,52,self-employed,married,university.degree,unknown,yes,may,22,353,4,0,nonexistent,93.994,4.858,no
65,4184,38,technician,single,professional.course,no,no,may,30,147,2,0,nonexistent,93.994,4.858,no
66,4185,48,blue-collar,married,basic.6y,no,no,may,28,332,10,0,nonexistent,93.994,4.858,no
67,4186,31,technician,married,basic.9y,unknown,yes,may,17,179,9,0,nonexistent,93.994,4.858,no
68,4187,33,management,married,university.degree,no,yes,may,14,396,9,0,nonexistent,93.994,4.858,no
69,4188,37,blue-collar,single,university.degree,no,yes,may,2,492,9,0,nonexistent,93.994,4.858,no
70,4189,34,blue-collar,married,basic.9y,no,yes,may,5,360,2,0,nonexistent,93.994,4.858,no
71,4190,59,housemaid,married,unknown,no,no,may,22,175,2,0,nonexistent,93.994,4.858,no
72,4191,34,admin.,married,university.degree,no,yes,may,17,97,9,0,nonexistent,93.994,4.858,no
73,4192,34,blue-collar,single,basic.9y,no,no,may,12,84,3,0,nonexistent,93.994,4.858,no
74,4193,29,blue-collar,single,professional.course,no,yes,may,25,57,7,0,nonexistent,93.994,4.858,no
75,4194,46,entrepreneur,married,university.degree,no,yes,may,23,105,11,0,nonexistent,93.994,4.858,no
