,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,24714,52,management,married,university.degree,no,yes,nov,6,172,3,0,nonexistent,93.2,4.191,no
1,24715,42,blue-collar,divorced,basic.9y,no,yes,nov,7,151,3,1,failure,93.2,4.191,no
2,24716,45,self-employed,married,university.degree,no,yes,nov,29,487,1,0,nonexistent,93.2,4.191,no
3,24717,32,entrepreneur,married,university.degree,no,yes,nov,29,249,1,1,failure,93.2,4.191,no
4,24718,37,entrepreneur,married,university.degree,unknown,yes,nov,12,215,1,0,nonexistent,93.2,4.191,no
5,24719,40,blue-collar,married,basic.6y,no,yes,nov,25,108,3,0,nonexistent,93.2,4.191,no
6,24720,37,entrepreneur,married,university.degree,unknown,yes,nov,22,17,1,1,failure,93.2,4.191,no
7,24721,41,admin.,married,university.degree,no,no,nov,29,295,1,0,nonexistent,93.2,4.191,no
8,24722,33,entrepreneur,married,basic.9y,unknown,yes,nov,13,292,1,0,nonexistent,93.2,4.191,no
9,24723,37,entrepreneur,married,university.degree,unknown,no,nov,28,454,1,0,nonexistent,93.2,4.191,yes
10,24724,50,entrepreneur,married,university.degree,no,yes,nov,12,92,1,0,nonexistent,93.2,4.191,no
11,24725,51,retired,divorced,basic.4y,no,yes,nov,30,94,1,0,nonexistent,93.2,4.191,no
12,24726,31,management,single,university.degree,no,no,nov,29,104,1,0,nonexistent,93.2,4.191,no
13,24727,58,retired,married,professional.course,no,no,nov,1,318,1,0,nonexistent,93.2,4.191,no
14,24728,50,entrepreneur,married,university.degree,no,no,nov,24,408,1,1,failure,93.2,4.191,no
15,24729,43,unemployed,married,basic.9y,unknown,yes,nov,21,252,3,0,nonexistent,93.2,4.191,no
16,24730,33,technician,single,university.degree,no,no,nov,7,293,5,1,failure,93.2,4.191,no
17,24731,37,entrepreneur,married,university.degree,unknown,yes,nov,21,1012,1,0,nonexistent,93.2,4.191,no
18,24732,42,unemployed,married,high.school,no,yes,nov,8,154,2,0,nonexistent,93.2,4.153,no
19,24733,50,technician,married,professional.course,no,no,nov,13,166,1,0,nonexistent,93.2,4.153,no
20,24734,43,admin.,married,high.school,no,no,nov,9,127,1,0,nonexistent,93.2,4.153,no
21,24735,50,technician,married,professional.course,no,unknown,nov,30,336,1,0,nonexistent,93.2,4.153,no
22,24736,36,admin.,single,university.degree,no,yes,nov,13,82,1,1,failure,93.2,4.153,no
23,24737,55,admin.,married,professional.course,unknown,yes,nov,27,514,2,0,nonexistent,93.2,4.153,yes
24,24738,56,technician,married,professional.course,unknown,unknown,nov,12,44,1,1,failure,93.2,4.153,no
25,24739,34,admin.,married,high.school,no,no,nov,14,105,1,0,nonexistent,93.2,4.153,no
26,24740,31,management,married,university.degree,no,yes,nov,17,41,1,1,failure,93.2,4.153,no
27,24741,51,admin.,married,university.degree,no,no,nov,2,143,1,0,nonexistent,93.2,4.153,no
28,24742,44,technician,married,professional.course,no,no,nov,15,189,1,0,nonexistent,93.2,4.153,no
29,24743,34,admin.,divorced,university.degree,no,no,nov,26,41,1,0,nonexistent,93.2,4.153,no
30,24744,35,technician,divorced,professional.course,unknown,no,nov,13,143,1,0,nonexistent,93.2,4.153,no
31,24745,34,admin.,divorced,university.degree,no,no,nov,29,150,1,0,nonexistent,93.2,4.153,no
32,24746,41,services,single,professional.course,no,yes,nov,29,41,2,0,nonexistent,93.2,4.153,no
33,24747,37,self-employed,divorced,basic.9y,no,yes,nov,24,237,1,0,nonexistent,93.2,4.153,no
34,24748,43,management,married,professional.course,no,no,nov,26,42,1,0,nonexistent,93.2,4.153,no
35,24749,43,management,married,professional.course,no,yes,nov,9,99,1,0,nonexistent,93.2,4.153,no
36,24750,50,technician,divorced,professional.course,no,no,nov,4,46,1,0,nonexistent,93.2,4.153,no
37,24751,55,blue-collar,single,basic.6y,no,yes,nov,25,204,2,0,nonexistent,93.2,4.153,no
38,24752,49,admin.,divorced,basic.6y,no,no,nov,16,295,2,0,nonexistent,93.2,4.153,no
39,24753,39,management,married,university.degree,no,no,nov,8,88,1,0,nonexistent,93.2,4.153,no
40,24754,56,retired,married,basic.4y,no,no,nov,3,79,1,0,nonexistent,93.2,4.153,no
41,24755,31,technician,married,university.degree,no,unknown,nov,6,104,1,1,failure,93.2,4.153,no
42,24756,31,technician,married,university.degree,no,unknown,nov,23,102,1,0,nonexistent,93.2,4.153,no
43,24757,31,admin.,married,university.degree,no,yes,nov,12,64,1,0,nonexistent,93.2,4.153,no
44,24758,53,services,divorced,high.school,no,yes,nov,1,233,1,0,nonexistent,93.2,4.153,no
45,24759,47,unemployed,married,high.school,no,no,nov,12,94,1,0,nonexistent,93.2,4.153,no
46,24760,54,self-employed,married,basic.9y,no,yes,nov,22,139,4,1,failure,93.2,4.153,no
47,24761,47,unemployed,married,high.school,no,yes,nov,11,65,1,1,failure,93.2,4.153,no
48,24762,40,self-employed,married,basic.9y,no,no,nov,14,55,1,1,failure,93.2,4.153,no
49,24763,47,management,married,university.degree,no,yes,nov,21,283,2,0,nonexistent,93.2,4.153,no
50,24764,43,blue-collar,married,basic.9y,no,yes,nov,1,326,1,0,nonexistent,93.2,4.153,no
51,24765,43,blue-collar,married,basic.9y,no,no,nov,25,465,1,0,nonexistent,93.2,4.153,no
52,24766,54,admin.,single,university.degree,no,no,nov,20,67,1,0,nonexistent,93.2,4.153,no
53,24767,54,admin.,single,university.degree,no,yes,nov,1,119,1,1,failure,93.2,4.153,no
54,24768,41,services,married,university.degree,no,yes,nov,23,140,1,0,nonexistent,93.2,4.153,no
55,24769,34,entrepreneur,single,basic.9y,no,no,nov,14,386,1,0,nonexistent,93.2,4.153,no
56,24770,30,blue-collar,single,high.school,no,yes,nov,7,228,1,1,failure,93.2,4.153,no
57,24771,35,blue-collar,married,professional.course,no,yes,nov,3,114,2,0,nonexistent,93.2,4.153,no
58,24772,48,admin.,married,unknown,unknown,no,nov,2,67,1,0,nonexistent,93.2,4.153,no
59,24773,41,management,married,university.degree,no,yes,nov,14,57,1,0,nonexistent,93.2,4.153,no
60,24774,36,blue-collar,married,basic.9y,no,yes,nov,18,130,1,0,nonexistent,93.2,4.153,no
61,24775,57,management,married,university.degree,no,yes,nov,21,93,1,0,nonexistent,93.2,4.153,no
62,24776,41,management,married,university.degree,no,yes,nov,26,176,1,0,nonexistent,93.2,4.153,no
63,24777,37,blue-collar,single,high.school,no,yes,nov,2,79,2,0,nonexistent,93.2,4.153,no
64,24778,50,technician,married,professional.course,no,yes,nov,22,1978,1,0,nonexistent,93.2,4.153,yes
65,24779,36,blue-collar,married,basic.4y,no,no,nov,11,101,5,0,nonexistent,93.2,4.153,no
66,24780,56,admin.,married,high.school,unknown,yes,nov,3,105,1,0,nonexistent,93.2,4.153,no
67,24781,34,blue-collar,married,professional.course,no,no,nov,15,95,1,0,nonexistent,93.2,4.153,no
68,24782,34,blue-collar,married,professional.course,no,yes,nov,16,64,1,1,failure,93.2,4.153,no
69,24783,34,blue-collar,married,professional.course,no,no,nov,29,91,1,0,nonexistent,93.2,4.153,no
70,24784,40,entrepreneur,married,basic.9y,no,no,nov,20,40,1,0,nonexistent,93.2,4.153,no
71,24785,34,blue-collar,married,professional.course,no,unknown,nov,11,138,1,0,nonexistent,93.2,4.153,no
72,24786,52,technician,married,basic.9y,no,yes,nov,7,54,1,0,nonexistent,93.2,4.153,no
73,24787,40,entrepreneur,married,basic.9y,no,yes,nov,9,67,1,1,failure,93.2,4.153,no
74,24788,40,management,married,university.degree,no,no,nov,29,1122,2,1,failure,93.2,4.153,yes
75,24789,34,blue-collar,married,professional.course,no,no,nov,9,164,1,1,failure,93.2,4.153,no
76,24790,35,admin.,married,high.school,no,no,nov,24,95,1,0,nonexistent,93.2,4.153,no
77,24791,35,admin.,married,high.school,no,no,nov,27,72,1,0,nonexistent,93.2,4.153,no
78,24792,41,entrepreneur,married,university.degree,no,yes,nov,5,854,1,0,nonexistent,93.2,4.153,yes
