,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,32952,29,blue-collar,married,basic.9y,no,yes,may,24,34,1,1,failure,92.893,1.299,no
1,32953,28,blue-collar,single,professional.course,no,yes,may,27,333,1,0,nonexistent,92.893,1.299,no
2,32954,58,technician,divorced,basic.9y,no,no,may,31,128,1,1,failure,92.893,1.299,no
3,32955,36,entrepreneur,married,high.school,no,yes,may,16,102,1,0,nonexistent,92.893,1.299,no
4,32956,31,services,married,basic.9y,no,no,may,12,400,1,1,failure,92.893,1.299,no
5,32957,29,blue-collar,married,basic.9y,no,yes,may,23,175,1,0,nonexistent,92.893,1.299,no
6,32958,33,admin.,married,university.degree,no,no,may,25,69,1,0,nonexistent,92.893,1.299,no
7,32959,55,management,married,university.degree,no,yes,may,6,126,2,0,nonexistent,92.893,1.299,no
8,32960,35,blue-collar,married,basic.4y,no,no,may,26,285,2,1,failure,92.893,1.299,no
9,32961,39,blue-collar,married,basic.9y,unknown,yes,may,17,327,2,0,nonexistent,92.893,1.299,no
10,32962,37,admin.,single,university.degree,no,yes,may,11,168,5,0,nonexistent,92.893,1.299,no
11,32963,35,blue-collar,married,basic.4y,no,no,may,4,127,5,0,nonexistent,92.893,1.299,no
12,32964,26,blue-collar,single,high.school,unknown,no,may,25,314,2,0,nonexistent,92.893,1.299,no
13,32965,44,technician,married,professional.course,no,yes,may,22,147,3,1,failure,92.893,1.299,no
14,32966,26,student,single,high.school,no,no,may,17,472,2,0,nonexistent,92.893,1.299,no
15,32967,44,admin.,married,high.school,no,yes,may,9,246,1,0,nonexistent,92.893,1.299,no
16,32968,30,services,single,high.school,no,yes,may,23,213,2,1,failure,92.893,1.299,no
17,32969,28,blue-collar,married,basic.9y,unknown,yes,may,6,173,2,0,nonexistent,92.893,1.299,no
18,32970,27,services,married,basic.9y,no,yes,may,2,220,2,0,nonexistent,92.893,1.299,no
19,32971,33,blue-collar,single,basic.9y,unknown,no,may,31,130,3,0,nonexistent,92.893,1.299,no
20,32972,32,blue-collar,married,basic.4y,no,no,may,31,299,3,0,nonexistent,92.893,1.299,no
21,32973,43,blue-collar,married,basic.9y,no,yes,may,30,247,6,0,nonexistent,92.893,1.299,no
22,32974,24,technician,single,basic.9y,no,yes,may,20,111,6,0,nonexistent,92.893,1.299,no
23,32975,37,entrepreneur,married,basic.9y,no,yes,may,2,195,2,1,failure,92.893,1.299,no
24,32976,32,admin.,single,high.school,no,yes,may,15,148,2,0,nonexistent,92.893,1.299,no
25,32977,30,services,married,high.school,no,no,may,10,286,3,0,nonexistent,92.893,1.299,no
26,32978,50,blue-collar,married,unknown,unknown,yes,may,9,96,2,0,nonexistent,92.893,1.299,no
27,32979,43,services,divorced,professional.course,no,no,may,21,75,4,0,nonexistent,92.893,1.299,no
28,32980,46,blue-collar,married,basic.9y,no,yes,may,8,386,2,0,nonexistent,92.893,1.299,no
