,client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome
0,28833,44,admin.,single,high.school,no,yes,apr,25,804,2,1,failure,93.075,1.41,no
1,28834,55,admin.,married,university.degree,no,yes,apr,11,211,3,0,nonexistent,93.075,1.41,no
2,28835,36,admin.,single,university.degree,no,yes,apr,16,274,2,0,nonexistent,93.075,1.41,no
3,28836,31,admin.,married,high.school,no,yes,apr,22,399,1,0,nonexistent,93.075,1.41,no
4,28837,38,entrepreneur,married,basic.4y,unknown,yes,apr,18,691,1,0,nonexistent,93.075,1.41,no
5,28838,28,self-employed,married,university.degree,no,yes,apr,30,344,1,0,nonexistent,93.075,1.41,no
6,28839,30,blue-collar,married,basic.9y,no,yes,apr,8,426,3,0,nonexistent,93.075,1.41,yes
7,28840,25,student,single,university.degree,no,no,apr,14,539,1,0,nonexistent,93.075,1.41,no
8,28841,40,services,married,high.school,no,no,apr,4,161,1,0,nonexistent,93.075,1.41,yes
9,28842,44,management,married,university.degree,no,yes,apr,12,137,2,0,nonexistent,93.075,1.41,no
10,28843,44,entrepreneur,divorced,university.degree,no,yes,apr,2,580,1,1,failure,93.075,1.41,no
11,28844,50,services,single,basic.6y,unknown,no,apr,13,119,1,1,success,93.075,1.41,no
12,28845,45,services,divorced,basic.4y,no,no,apr,26,296,1,0,nonexistent,93.075,1.41,no
13,28846,40,management,married,basic.6y,no,yes,apr,12,179,1,0,nonexistent,93.075,1.41,no
14,28847,50,services,single,basic.6y,unknown,no,apr,23,169,1,0,nonexistent,93.075,1.41,no
15,28848,50,services,single,basic.6y,unknown,yes,apr,26,429,1,0,nonexistent,93.075,1.41,no
16,28849,28,technician,married,basic.9y,no,yes,apr,21,137,1,0,nonexistent,93.075,1.41,no
17,28850,36,blue-collar,married,unknown,no,yes,apr,14,466,4,0,nonexistent,93.075,1.41,no
18,28851,28,technician,married,basic.9y,no,no,apr,5,263,1,0,nonexistent,93.075,1.41,no
19,28852,28,technician,married,basic.9y,no,yes,apr,29,75,1,0,nonexistent,93.075,1.41,no
20,28853,23,blue-collar,single,basic.4y,no,yes,apr,22,287,1,0,nonexistent,93.075,1.41,no
21,28854,43,management,married,university.degree,unknown,no,apr,18,176,1,0,nonexistent,93.075,1.41,no
22,28855,28,technician,married,basic.9y,no,no,apr,21,442,1,0,nonexistent,93.075,1.41,no
23,28856,44,blue-collar,married,basic.6y,no,yes,apr,10,304,1,0,nonexistent,93.075,1.41,no
24,28857,55,management,married,basic.4y,unknown,no,apr,1,594,2,0,nonexistent,93.075,1.41,no
25,28858,28,technician,married,basic.9y,no,yes,apr,3,772,1,0,nonexistent,93.075,1.41,no
26,28859,30,services,married,high.school,no,no,apr,27,647,2,1,failure,93.075,1.41,no
27,28860,45,blue-collar,married,unknown,no,yes,apr,23,263,1,0,nonexistent,93.075,1.41,no
28,28861,25,student,married,university.degree,no,yes,apr,19,127,7,0,nonexistent,93.075,1.41,no
29,28862,47,entrepreneur,divorced,high.school,no,no,apr,29,71,5,0,nonexistent,93.075,1.41,no
30,28863,45,blue-collar,married,unknown,no,yes,apr,6,432,1,0,nonexistent,93.075,1.41,no
31,28864,59,blue-collar,married,basic.9y,no,no,apr,1,332,2,1,failure,93.075,1.41,no
32,28865,45,blue-collar,married,unknown,no,no,apr,1,829,1,0,nonexistent,93.075,1.41,no
33,28866,45,blue-collar,married,unknown,no,yes,apr,7,614,1,1,failure,93.075,1.41,no
34,28867,45,blue-collar,married,unknown,no,yes,apr,13,797,1,0,nonexistent,93.075,1.41,no
35,28868,31,student,single,unknown,unknown,no,apr,1,102,1,1,failure,93.075,1.41,no
36,28869,29,blue-collar,single,basic.6y,no,yes,apr,28,1410,1,1,failure,93.075,1.41,no
37,28870,45,blue-collar,married,unknown,no,yes,apr,10,944,1,1,failure,93.075,1.41,yes
38,28871,31,student,single,unknown,unknown,no,apr,19,246,1,1,failure,93.075,1.41,no
39,28872,34,blue-collar,married,basic.9y,no,no,apr,19,234,1,1,failure,93.075,1.41,no
40,28873,26,student,single,university.degree,no,no,apr,7,551,2,0,nonexistent,93.075,1.41,yes
41,28874,31,student,single,unknown,unknown,yes,apr,11,427,1,1,failure,93.075,1.41,no
42,28875,34,blue-collar,married,basic.9y,no,no,apr,11,340,1,1,failure,93.075,1.41,no
43,28876,42,blue-collar,married,basic.4y,no,no,apr,22,579,3,0,nonexistent,93.075,1.41,no
44,28877,47,services,married,basic.9y,no,yes,apr,29,561,3,0,nonexistent,93.075,1.41,no
45,28878,31,student,single,unknown,unknown,yes,apr,21,1156,1,1,failure,93.075,1.41,yes
46,28879,39,blue-collar,married,unknown,unknown,yes,apr,28,307,1,0,nonexistent,93.075,1.41,no
47,28880,43,admin.,single,high.school,no,yes,apr,4,192,2,1,failure,93.075,1.405,no
